Processed,Name,Components,Recommendations,Problem or Purpose,My Comments,Theoretical/Conceptual,Sample,Methods,Key Findings,github,Cover,Related References,URL,Zotero URI,DOI,Edited
Yes,VGGT: Visual Geometry Grounded Transformer (2025),"2D features, 3D features, 3D-fusion, explain, pose, track","• Use VGGT to self-calibrate extrinsics online.
• Fuse depth+pose into occupancy voxels.
• Use tracking features for multi-view TTD association.
• Weight fusion by predicted uncertainty maps.
• Finetune on Isaac Sim flying objects.
• Add BA refinement for drift robustness.","• Feed-forward multi-view 3D reconstruction without optimization.
• Predict cameras, depth, point maps, tracks jointly.
• Handle one to hundreds of views efficiently.
• Provide backbone features for downstream 3D tasks.
• Outperform optimization-based SfM/MVS baselines.","• Strong multi-view RGB fit; no LiDAR required.
• Lacks classification; add separate temporal classifier.
• Heavy model; edge inference likely infeasible.
• Rolling-shutter, fast aerial motion unaddressed.
• Tracks 2D; extend to 3D MOT state.
• Potential backbone for Gaussian splatting inputs.","• Alternating frame-wise and global self-attention transformer.
• Over-complete supervision: camera, depth, point maps simultaneously.
• Coordinate normalization in first-camera world frame.
• Camera loss: Huber; depth/point: aleatoric uncertainty.
• Gradient consistency term for depth and point maps.
• PnP recoverability, Umeyama alignment for evaluation.","• Domains: indoor, outdoor, synthetic, phototourism.
• Training frames per scene: 2–24; accepts hundreds.
• #cameras/views: many images; overlap variable.
• Annotations: cameras, depth, point maps, tracks.
• 3D motion: mostly static; dynamic tracking finetuned.
• Availability: code/models public; license N/A.","• DINOv2 patchify; AA transformer processes all tokens.
• Camera tokens; DPT head predicts depth, points, features.
• Camera head regresses intrinsics/extrinsics feed-forward.
• Tracking via CoTracker2 using dense features.
• Multi-task losses: Huber, aleatoric, gradient terms.
• Trained 160k iters; 64 A100; bfloat16; checkpointing.","• Pose AUC@30: 85.3 Re10K, 88.2 CO3Dv2.
• ETH3D point Overall: 0.677 via depth+cam.
• DTU Overall: 0.382 without known cameras.
• ScanNet-1500 matching beats Roma across thresholds.
• Runtime: 0.2s/10 frames; scales to 200 frames.
• Memory: 1.9–40.6GB; model 1.2B parameters.",https://github.com/facebookresearch/vggt,,,http://arxiv.org/abs/2503.11651,https://zotero.org/alehanderoo/items/28YDSSK4,https://doi.org/10.48550/arXiv.2503.11651,12/11/2025 17:36 (GMT+1)
Yes,DUSt3R: Geometric 3D Vision Made Easy,"2D features, 3D features, 3D-fusion, pose","• Use for online extrinsics/focal self-calibration from RGB.
• Use pointmaps to seed 3D occupancy/volume priors.
• Apply global alignment for multi-cam fusion without LiDAR.
• Weight ray-voting using confidence maps.
• Finetune on Isaac Sim pairs for domain/objects.
• Beware scale ambiguity; enforce consistent scaling.","• Uncalibrated multi-view 3D reconstruction from RGB only.
• Replace brittle SfM/MVS pipelines with end-to-end model.
• Predict geometry without intrinsics/poses; unify mono/binocular.
• Provide global alignment for multi-image consistency.
• Recover cameras, depth, matches from pairwise pointmaps.","• Strong fit for calibration-drift, multi-view RGB-only.
• No classification/tracking; static-scene bias.
• Might aid track-before-detect via 3D matches.
• Pointmaps compatible with Gaussian-splat init seeds.
• Unclear performance on small fast flying targets.
• Rolling-shutter/dynamics robustness not evaluated.","• Pointmaps: dense 2D fields of 3D points.
• Confidence-weighted 3D regression loss with scale normalization.
• Transformer encoders/decoders with cross-attention.
• Global alignment minimizes 3D errors, not reprojection.
• Intrinsics via Weiszfeld-like focal optimization.
• Pose via Procrustes or PnP-RANSAC on correspondences.","• Mixed indoor/outdoor, synthetic/real general scenes.
• 8.5M training image pairs extracted.
• Pairwise inputs; multi-view via connectivity graph; variable overlap.
• Annotations: depth, poses from SfM/sensors/simulation.
• 3D motion presence: N/A.
• Public datasets; code open-source.","• Siamese ViT-L encoders; transformer decoders exchanging tokens.
• Heads regress pointmaps and per-pixel confidences.
• Calibration-free; optional intrinsics recovery from pointmaps.
• 3D fusion by global alignment with pairwise scales.
• Correspondences via 3D mutual NN; pose via PnP/Procrustes.
• Training: CroCo pretrain, 224→512 resolution, 3D losses.","• SoTA map-free localization VCRE AUC, precision improvements.
• Strong relative pose mAA on CO3Dv2, RealEstate10K.
• Zero-shot monocular/multi-view depth competitive or SoTA.
• DTU recon overall ~1.7mm; less than SoTA accuracy.
• Inference ~25ms/pair on H100; GA converges in seconds.
• Faster than COLMAP on multi-view depth tasks.",https://github.com/naver/dust3r,,,http://arxiv.org/abs/2312.14132,https://zotero.org/alehanderoo/items/4SLWXPX8,https://doi.org/10.48550/arXiv.2312.14132,12/11/2025 17:34 (GMT+1)
Yes,MUSt3R: Multi-view Network for Stereo 3D Reconstruction,"2D features, 3D features, 3D-fusion, pose","• Use memory-based multi-view fusion backbone.
• Leverage Procrustes pose for self-calibration drift.
• Adapt pointmaps to multi-camera global frame.
• Replace scene-centric assumptions with object-centric masks.
• Quick-win: test calibration refinement on Isaac Sim.
• Risk: struggles with large viewpoint changes.","• Scale pairwise DUSt3R to N-view directly.
• Reduce quadratic pairwise complexity for large collections.
• Enable real-time uncalibrated VO and SLAM.
• Predict global pointmaps without global alignment.
• Improve robustness, speed, and memory usage.","• Strong RGB-only self-calibration aligns with thesis.
• Not designed for multi-camera simultaneous capture.
• No occupancy, classification, or MOT modules.
• Pointmaps could seed occupancy voxelization.
• May fail on fast, tiny flying objects.
• Rolling-shutter handling unclear; needs verification.","• Pointmap representation unifies geometry and intrinsics.
• Symmetric Siamese decoder with shared weights.
• Multi-view cross-attention across all other views.
• Iterative memory as causal KV cache.
• Global 3D feedback module INJ3D.
• Procrustes alignment for relative pose estimation.","• Indoor/outdoor scenes, diverse datasets.
• Training: 12–14 datasets mixed.
• Evaluation: 7Scenes, DTU, TUM, ETH3D.
• Single moving RGB camera, sequential overlap.
• Annotations: depth, poses, focal lengths.
• Mostly static scenes; some dynamic sequences.","• ViT encoder; shared multi-view transformer decoder.
• Cross-attention across all other views.
• Iterative memory for causal online processing.
• Global 3D feedback (INJ3D) across layers.
• Dual heads output X_i,1 and X_i,i.
• Procrustes pose; uncalibrated focal from pointmaps.","• SOTA uncalibrated VO on TUM, ETH3D.
• 4.5 cm average ATE on TUM.
• FoV error ~4° average, better than Spann3R.
• FPS 8–12 on V100/A100; causal 11.7.
• GPU memory ~4–8 GB at 224/512.
• mAA@30 84.1 on CO3Dv2 (512).",,,,http://arxiv.org/abs/2503.01661,https://zotero.org/alehanderoo/items/XSSQAJ7C,https://doi.org/10.48550/arXiv.2503.01661,12/11/2025 17:33 (GMT+1)
Yes,VGGSfM: Visual Geometry Grounded Deep Structure from Motion (2024),"2D features, 3D-fusion, pose, track","• Use tracker for multi-cam track-before-detect cues.
• Employ differentiable BA for online extrinsic refinement.
• Integrate uncertainty-weighted reprojection for robust association.
• Replace DLT with Gaussian-splat triangulation post-process.
• Validate on Isaac Sim flying-object sequences.
• Beware static-scene assumption and scalability limits.","• End-to-end differentiable SfM from unordered RGB images.
• Replace incremental, non-differentiable SfM components.
• Jointly estimate all cameras and 3D points.
• Leverage deep 2D tracking, avoid match chaining.
• Achieve SOTA on public SfM benchmarks.","• Strong pose/self-calibration relevance for multi-view rigs.
• No occupancy, classification, or MOT; mismatch.
• Unordered multi-view aligns with overlapping cameras.
• Lacks dynamic handling; flying objects challenging.
• Uncertainty outputs beneficial for robust voting.
• Need runtime/FPS, memory for edge feasibility.","• Differentiable reconstruction function f_theta trained end-to-end.
• Transformer camera initializer and triangulator modules.
• Coarse-to-fine tracker with aleatoric uncertainty.
• Differentiable LM bundle adjustment via Theseus.
• Reprojection loss with visibility/confidence filtering.
• Pseudo-Huber losses; Gaussian NLL for tracks.","• Domains: landmarks, objects, indoor/outdoor scenes.
• Datasets: Co3Dv2, IMC Phototourism, ETH3D.
• Frames per batch: 3–30 training frames.
• Cameras: unordered multi-view; varying overlap.
• Annotations: GT cameras, tracks, point clouds.
• Dynamic 3D motion: generally static scenes.","• Pipeline: tracking, camera init, triangulation, BA refinement.
• Pose: joint global estimation from images and tracks.
• Intrinsics: learn focal length; principal point fixed center.
• 2D backbones: ResNet50 features; Transformer modules.
• 3D fusion: DLT triangulation; LM BA with Theseus.
• Training: staged then joint; pseudo-Huber, reprojection, Gaussian NLL.","• CO3D RRE@15: 92.1, RTE@15: 88.3.
• CO3D AUC@30: 74.0, best among compared baselines.
• IMC AUC@10: 73.92, AUC@5: 58.89 best.
• IMC AUC@3: 45.23, second to DFSfM.
• ETH3D Acc@5cm: 96.52, Comp@5cm: 33.96 best.
• Runtime and memory usage: N/A.",https://vggsfm.github.io,,,https://ieeexplore.ieee.org/document/10655838/,https://zotero.org/alehanderoo/items/C6NKCGMB,https://doi.org/10.1109/CVPR52733.2024.02049,12/11/2025 17:30 (GMT+1)
Yes,Grounding Image Matching in 3D with MASt3R (2024),"2D features, 3D features, pose","• Use MASt3R correspondences for online extrinsic refinement.
• Integrate fast reciprocal matcher into ray-voting.
• Triangulate multi-cam foreground seeds from matches.
• Apply coarse-to-fine windows for high-resolution inputs.
• Stress-test under calibration drift and rolling shutter.
• Avoid depth at inference; keep RGB-only pipeline.","• Cast matching as 3D, not 2D.
• Improve DUSt3R accuracy while preserving robustness.
• Produce dense, pixel-accurate correspondences under viewpoint changes.
• Reduce quadratic cost of dense reciprocal matching.
• Enable standalone calibration and pose from RGB pairs.","• Excellent for RGB-only self-calibration in multi-cam rigs.
• Assumes static scenes; moving flying objects challenging.
• No temporal modeling, tracking, or classification.
• Pairwise design; multi-view fusion needs extension.
• Adopt fast reciprocal matching for efficiency and robustness.
• Runtime on edge unknown; ViT likely heavy.","• Pointmap regression with confidence-aware loss.
• InfoNCE loss enforces one-to-one descriptor matches.
• Fast reciprocal nearest-neighbor matching, O(kWH) complexity.
• Coarse-to-fine matching using overlapping window crops.
• Metric depth training variant removes scale ambiguity.
• Pose via essential matrix; epipolar geometry grounded.","• Mixed datasets: Habitat, CO3D-v2, Waymo, RealEstate.
• 14 datasets; indoor/outdoor; real and synthetic.
• Binocular, uncalibrated RGB image pairs.
• Annotations: pointmaps, depths, camera poses.
• Extreme baselines; illumination changes; occlusions.
• Code public; dataset licenses per source.","• ViT-L encoder, ViT-B decoder with cross-attention.
• Heads: 3D pointmaps, confidences, dense descriptors.
• RGB-only inference; no LiDAR or depth required.
• FAISS/KD-tree nearest neighbors; fast reciprocal subsampling.
• Coarse-to-fine windows; greedy coverage of coarse matches.
• Pose from essential matrix or PnP; self-calibration.","• Map-free VCRE AUC 0.933; 30% absolute improvement.
• Median translation 0.36m; rotation 2.2 degrees.
• 64x matching speedup with k=3000 subsampling.
• Outperforms DUSt3R, LoFTR on localization benchmarks.
• Improved mAA on RealEstate; strong relative pose.
• Zero-shot MVS competitive without calibration.",https://github.com/naver/mast3r,,,http://arxiv.org/abs/2406.09756,https://zotero.org/alehanderoo/items/6UZXICP4,https://doi.org/10.48550/arXiv.2406.09756,12/11/2025 17:20 (GMT+1)
Yes,Pow3R: Empowering Unconstrained 3D Reconstruction with Camera and Scene Priors (2025),"2D features, 3D features, 3D-fusion, pose","• Use intrinsics-guided crops for high-res small-object detail
• Adopt Procrustes for fast pairwise extrinsics
• Exploit confidence maps for multi-cam fusion weighting
• Use global alignment to refine drifting extrinsics
• Seed occupancy from fused pointmaps, RGB-only
• Benchmark Isaac Sim with drifting extrinsics scenarios","• Unify 3D regression with optional priors at inference
• Leverage intrinsics/poses/depth when available, unlike DUSt3R
• Enable high-res processing via crop intrinsics guidance
• Improve depth, focal, pose jointly with one model
• Provide faster relative pose estimation from pointmaps","• Strong multi-view geometry; no dynamics or tracking
• Useful for self-calibration, not occupancy directly
• Confidence-aware guidance robust to bad priors; valuable
• Pairwise design scales to multi-cam via batching
• Consider adding motion modeling for flying objects
• Open: rolling-shutter robustness, multi-view >2 natively","• Pointmap regression with scale-invariant normalization
• Confidence-aware loss with alpha=0.2
• Procrustes alignment for relative pose estimation
• Auxiliary modality embeddings via MLP injection
• Ray-based intrinsics encoding as dense tokens","• Static indoor/outdoor scenes across eight datasets
• 8.5M training image pairs total
• Two cameras per pair; overlapping views
• Annotations: depth, intrinsics, relative pose
• No 3D motion; static-scene assumption
• Model weights via project webpage; datasets public","• Shared ViT encoder; dual decoders with cross-attention
• Inject intrinsics/depth in encoder; pose in decoder
• Predict X1,1, X2,1, X2,2 with confidences
• Global alignment fuses pairwise predictions multi-view
• Scale-invariant pointmap loss; confidence regularization
• Train 224px then 512px; 8 A100; 5 days","• Outperforms DUSt3R when priors provided
• High-res sliding-window boosts depth accuracy
• Depth completion SOTA across sparsity on NYUv2
• Procrustes pose: 30.9 fps vs 3.2 PnP
• Inference ~0.13s per pair at 512px
• K+RT synergy; intrinsics most beneficial",,,,http://arxiv.org/abs/2503.17316,https://zotero.org/alehanderoo/items/KVXDPAQL,https://doi.org/10.48550/arXiv.2503.17316,12/11/2025 17:10 (GMT+1)
Yes,Fast3R: Towards 3D Reconstruction of 1000+ Images in One Forward Pass (2025),"2D features, 3D features, 3D-fusion, pose","• Use Fast3R for online extrinsics/self-calibration.
• Seed Gaussian Splatting + BA for pose refinement.
• Use confidence-masked pointmaps for occupancy fusion.
• Test 5-camera rig; 512p; per-batch RANSAC-PnP.
• Finetune on Isaac Sim dynamic flights for 4D cues.
• Avoid optical-flow; rely on multi-view geometry cues.","• Efficient multi-view 3D reconstruction from many RGB views.
• Avoid O(N^2) pairwise DUSt3R alignment cost.
• Reduce error accumulation from pairwise processing bottlenecks.
• Single forward pass for 1000+ unordered, unposed images.
• Improve pose/reconstruction speed without accuracy loss.","• Strong multi-view fusion; no classification/tracking modules.
• RGB-only fits inference constraints; no LiDAR needed.
• Static-scene assumption limits flying-object tracking directly.
• Good for calibration drift via per-batch pose.
• Outputs suit Gaussian Splatting; occupancy via voxelization.
• No rolling-shutter compensation; check for fast motion.","• Pointmap regression with local/global coordinate frames.
• Confidence-weighted normalized L2 pointmap loss.
• All-to-all self-attention across views for fusion.
• Image index positional embeddings with interpolation.
• No known intrinsics; poses via RANSAC-PnP.
• Confidence maps guide robust supervision/inference.","• Training on CO3D, ScanNet++, ARKitScenes, Habitat.
• Also BlendedMVS, MegaDepth; mixed indoor/outdoor.
• Unposed, unordered multi-view images; N up to 1000+.
• Annotations: scans/poses; derived pointmaps as supervision.
• 3D motion only in 4D finetuning experiments.
• Project page; dataset licenses apply.","• ViT-L encoder per image; CroCo/DINOv2 weights.
• Fusion transformer with all-to-all attention across views.
• DPT decoders predict local/global pointmaps, confidences.
• Poses via RANSAC-PnP using top-confidence points.
• Local pointmaps aligned to global via ICP.
• Training: 512p, AdamW, FlashAttention, ZeRO, N=20.","• CO3D RRA@15: 99.7%, mAA30 up to 82.5.
• 251 FPS at 224p, 108 views.
• Processes 1500 views; DUSt3R OOM past 32.
• 14× error reduction vs DUSt3R alignment.
• 320× faster than DUSt3R; 1000× than MASt3R.
• Peak 63 GiB at 1000 views on A100.",,,,http://arxiv.org/abs/2501.13928,https://zotero.org/alehanderoo/items/FVPYIQY9,https://doi.org/10.48550/arXiv.2501.13928,12/11/2025 17:06 (GMT+1)
Yes,Generative Sparse-View Gaussian Splatting,"2D features, 3D features, 3D-fusion, pose","• Adopt geometry-aware pseudo-view hallucination for sparsity
• Add MS-SSIM depth reg to GS training
• Integrate LoRA depth adapter for priors
• Leverage 4DGS backbone for dynamic targets
• Risk: needs accurate poses; no drift handling
• Quick win: 3-view augmentation then occupancy extraction","• Sparse-view GS struggles with limited constraints
• Improve 3D/4DGS from few input views
• Generative methods lack multi-view consistency
• Regularization alone insufficient for sparse views
• Propose diffusion-guided pseudo-view augmentation","• Good fit for sparse multi-view reconstruction
• Lacks occupancy, classification, and MOT
• Assumes fixed calibration; no self-calibration
• Hallucinations may distort small flying objects
• Useful to densify before 3D MOT
• Verify runtime and edge feasibility","• Bi-level alternating optimization of GS and diffusion
• Stable Diffusion LDM loss L_LDM objective
• Geometry-aware diffusion feature consistency loss
• 3DGS alpha compositing rendering equation
• Depth MS-SSIM regularization on normalized depths
• LoRA with depth T2I-Adapter conditioning","• Datasets: Blender, LLFF, Mip-NeRF360, Neural 3D Video
• Blender: 8 objects, 8 train, 25 test
• LLFF: 8 scenes, 3 training views
• Mip-NeRF360: 9 outdoor scenes, 24 training views
• Neural 3D Video: 6 seqs, 18–21 cameras
• Annotations: RGB only; dynamic motion present; public","• Init GS from SfM using sparse views
• Depth-conditioned diffusion generates pseudo-view images
• Warp pseudo renders to train views via extrinsics
• Match diffusion features across warped pairs
• Optimize GS with L1 and D-SSIM losses
• Add depth MS-SSIM reg; 10k iterations","• Best Blender PSNR 28.57, +3 dB over FSGS
• LLFF: 24.82 PSNR, 0.737 SSIM, 0.105 LPIPS
• Mip-NeRF360: 25.87 PSNR, best across metrics
• Dynamic: +12 dB vs SpacetimeGS at 3 views
• Ablations: geometry loss and depth reg effective
• Efficiency claimed; FPS not reported",,,,,https://zotero.org/alehanderoo/items/YZQDV4VP,,12/11/2025 17:03 (GMT+1)
Yes,MotionGS: Exploring Explicit Motion Guidance for Deformable 3D Gaussian Splatting (2024),"2D features, 3D features, 3D-fusion, pose","• Adopt motion/camera flow decoupling for motion guidance.
• Implement Gaussian-flow rendering for supervision.
• Use alternating pose refinement for drift correction.
• Leverage dynamic masks to suppress static regions.
• Test self-supervised flow loss when flow unreliable.
• Evaluate multi-cam extension using synchronized frames.","• Dynamic 3DGS lacks explicit motion guidance.
• Optical flow conflates camera and object motion.
• Inaccurate poses degrade dynamic reconstruction quality.
• Aim: decouple flow, refine poses, guide deformation.","• Strong 4DGS motion supervision; no occupancy modeling.
• Monocular focus; lacks multi-view fusion.
• No classification/tracking; add downstream MOT.
• Pose refinement aligns with self-calibration needs.
• Flow reliance may miss small, fast flyers.
• Potential track-before-detect via motion flow masks.","• Decouple optical flow: camera flow + motion flow.
• Gaussian flow matches motion flow at fixed viewpoint.
• Photometric rendering loss supervises image fidelity.
• L1 motion-vs-Gaussian flow loss.
• SE(3) residual pose optimization via gradients.","• Monocular dynamic videos; tabletop and handheld scenes.
• NeRF-DS: eight stereo sequences, 480×270.
• HyperNeRF vrig: four scenes, 536×960 downsampled.
• Train left camera; test right camera on NeRF-DS.
• No GT flow/poses; optional dynamic masks.
• Datasets Apache-2.0; public downloads.","• COLMAP initializes Gaussians and camera poses.
• GMFlow estimates optical flow between adjacent frames.
• Render 3DGS depth; compute camera flow by reprojection.
• Motion flow = optical flow − camera flow.
• CUDA Gaussian flow supervises deformation via L1 loss.
• Alternate SE(3) pose refinement with frozen Gaussians.","• Outperforms baselines on NeRF-DS PSNR/SSIM.
• HyperNeRF mean PSNR 24.8 vs 22.5 baseline.
• Motion flow beats raw optical flow supervision.
• Pose refinement further boosts metrics.
• Real-time rendering; many scenes >30 FPS.
• Training slower; peak memory up to ~18 GB.",,,,http://arxiv.org/abs/2410.07707,https://zotero.org/alehanderoo/items/VXYM6EKS,https://doi.org/10.48550/arXiv.2410.07707,12/11/2025 16:54 (GMT+1)
Yes,Object-centric Reconstruction and Tracking of Dynamic Unknown Objects using 3D Gaussian Splatting (2024),"3D features, 3D-fusion, pose, track","• Reuse object-centric 3DGS for dynamic object modeling.
• Replace depth losses with multi-view RGB photometrics.
• Integrate multi-cam keyframes and pose-graph bundle adjust.
• Add track-before-detect foreground ray-voting for initialization.
• Self-calibrate extrinsics from motion to reduce drift.
• Extend to 4D Gaussians for classification cues.","• Incremental reconstruction of unknown dynamic objects.
• Simultaneous 6-DoF pose tracking without templates.
• Unified object-centric 3D Gaussian representation.
• Avoids pretraining and prior object knowledge.
• Addresses slow, low-fidelity, multi-representation pipelines.","• Strong fit: object-centric 3DGS, dynamic unknown targets.
• Mismatch: requires RGB-D inference; single-camera only.
• No classification, occupancy, or multi-object tracking.
• Drift highlights need for global multi-view constraints.
• Suggest SH for specularities; rolling-shutter unaddressed.
• Edge feasibility limited by seconds-per-frame runtime.","• Differentiable 3D Gaussian splatting rasterization.
• Locally affine perspective projection approximation.
• Alpha compositing approximates volumetric rendering.
• Photometric L1 and SSIM color losses.
• Depth L1 for reconstruction and tracking.
• Adam optimization with alternating objectives.","• Domain: proximity operations with spacecraft.
• Ten ESA science fleet models.
• 1000 frames per sequence.
• Single moving RGB-D camera, spherical spiral trajectory.
• Annotations: GT poses, depth, segmentations.
• Synthetic, Isaac Sim; release status unspecified.","• Object-centric 3D Gaussians with color, opacity.
• Differentiable rasterization for color and depth.
• Alternate reconstruction and per-frame pose optimization.
• No 2D backbones or optical flow.
• Loss: L1+SSIM color; L1 depth; keyframe window.
• Adam; 120 recon, 80 track steps; add/prune Gaussians.","• Improving chamfer distance across views for most objects.
• Accurate tracking short-term: <0.5m, <10° for 6/10.
• Long-term drift in 6/10 sequences.
• Runtime: 1.4s recon, 1.1s tracking per frame.
• RTX 3080 Ti Laptop; not real-time.
• Failure modes: dark regions, view-dependent specularity.",,,,http://arxiv.org/abs/2405.20104,https://zotero.org/alehanderoo/items/BE6FVN5S,https://doi.org/10.1109/iSpaRo60631.2024.10688304,12/11/2025 16:53 (GMT+1)
